"Раздел";"Код";"Класс";"Фактор";"Ед.";"Уровень агрегации";"Минимум для обучения";"Где особенно нужен";"Почему критичен";"Фактическое значение";"Источник / файл";"Дата источника";"Комментарий"
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-015";"A";"качество";"% / класс";"опыт / поле";"факт";"outcome quality";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-016";"A";"потери при уборке";"% / кг/га";"опыт / поле";"желательно";"harvest response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-017";"B";"посевная площадь";"га";"регион / район / год";"факт";"baseline statistics";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-018";"B";"убранная площадь";"га";"регион / район / год";"факт";"baseline statistics";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-019";"B";"урожайность по культуре";"т/га";"регион / район / год";"факт";"base expectation";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-020";"B";"валовой сбор";"т";"регион / район / год";"факт";"macro context";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-021";"B";"структура культур";"%";"регион / район / год";"желательно";"crop competition and fit";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-022";"C";"средняя температура";"°C";"день / декада / месяц";"факт";"weather response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-023";"C";"минимум температуры";"°C";"день / декада / месяц";"факт";"frost damage";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-024";"C";"максимум температуры";"°C";"день / декада / месяц";"факт";"heat stress";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-025";"C";"осадки";"мм";"день / декада / месяц";"факт";"water stress";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-026";"C";"`SAT` / `GDD`";"°C";"сезон / период";"факт";"branch and phenology";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-027";"C";"снежный покров";"см / дни";"неделя / месяц";"желательно";"overwintering";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-028";"C";"дата схода снега";"дата";"сезон / район";"желательно";"spring restart";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-029";"C";"экстремальные события";"";"сезон / район";"список событий";"risk training";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-030";"D";"тип почвы";"";"поле / зона / район";"факт";"stratification";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-031";"D";"`pH`";"pH";"поле / зона / район";"факт";"admission and risk";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-032";"D";"гумус";"%";"поле / зона / район";"желательно";"soil quality";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-033";"D";"`P_available`";"мг/кг";"поле / зона / район";"факт";"nutrient response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-034";"D";"`K_available`";"мг/кг";"поле / зона / район";"факт";"nutrient response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-035";"D";"`S_available`";"мг/кг";"поле / зона / район";"желательно";"sulfur response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-036";"D";"`B_available`";"мг/кг";"поле / зона / район";"желательно";"boron response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-037";"D";"уплотнение";"";"поле / зона";"да / нет / уровень";"executability and risk";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-038";"D";"drainage / переувлажнение";"";"поле / зона";"описание / класс";"moisture risk";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-039";"E";"предшественник";"";"поле × сезон";"факт";"rotation response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-040";"E";"лет без рапса";"лет";"поле × сезон";"факт";"rotation rules";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-041";"E";"сорт / гибрид";"";"поле × сезон";"факт";"genotype response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-042";"E";"зимостойкость сорта";"балл";"опыт / сорт";"желательно";"branch fit";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-043";"E";"болезнь / степень поражения";"% / балл";"поле × фаза";"факт";"disease models";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-044";"E";"вредитель / численность";"экз./растение, экз./м²";"поле × фаза";"факт";"pest models";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-045";"E";"густота стояния";"шт/м²";"поле × фаза";"факт";"stand response";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-046";"E";"параметры розетки";"листьев, мм, см";"поле × осень";"желательно";"overwintering success";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-047";"E";"выживаемость после зимы";"%";"поле × весна";"факт";"winter risk models";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-048";"E";"техника выполнения";"тип / модель";"поле × операция";"желательно";"execution realism";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-049";"E";"окно выполнения операции";"дата / дни";"поле × операция";"факт";"timing realism";"";"";"";"";""
"1. Реестр факторов для обучающего корпуса ядра ИИ";"AI-050";"E";"факт `Evidence` и наблюдений";"";"поле × сезон";"желательно";"explainability training";"";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-001";"";"`pH`";"pH";"";"";"";"блок admission и риск килы";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-002";"";"`rotation_years_since_rapeseed`";"лет";"";"";"";"правило севооборота";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-003";"";"`clubroot_history`";"bool";"";"";"";"абсолютный риск поля";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-004";"";"`SAT_avg`";"°C";"";"";"";"выбор winter / spring";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-005";"";"сроки сева";"дата";"";"";"";"один из главных драйверов урожая";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-006";"";"развитие розетки к зиме";"листьев, мм, см";"";"";"";"ключ к перезимовке";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-007";"";"выживаемость после зимы";"%";"";"";"";"ключ к весеннему решению";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-008";"";"обеспеченность серой";"мг/кг и кг/га";"";"";"";"сильный фактор отклика рапса";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-009";"";"обеспеченность бором";"мг/кг и кг/га";"";"";"";"сильный фактор отклика рапса";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-010";"";"сроки и потери при уборке";"дата, %";"";"";"";"сильный фактор потери урожая";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-011";"";"болезни цветения и налива";"% / балл";"";"";"";"прямой урон урожаю и качеству";"";"";"";""
"2. Какие факторы особенно важны для рапса";"RAI-012";"";"вредители осени и весны";"экз./растение, экз./м²";"";"";"";"прямой урон посеву";"";"";"";""
